"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;1.96825
-19;1.96424
-18;1.95982
-17;1.95495
-16;1.94953
-15;1.94348
-14;1.93669
-13;1.92901
-12;1.92025
-11;1.91018
-10;1.89848
-9;1.88475
-8;1.86843
-7;1.84875
-6;1.82468
-5;1.79477
-4;1.75721
-3;1.71003
-2;1.65237
-1;1.58688
0;1.51988
1;1.45577
2;1.39477
3;1.33941
4;1.29422
5;1.25934
6;1.23237
7;1.21104
8;1.19374
9;1.17941
10;1.16731
11;1.15694
12;1.14795
13;1.14008
14;1.13312
15;1.12693
16;1.12139
17;1.11641
18;1.1119
19;1.10781
20;1.10408
