"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;2.09405
-19;2.08737
-18;2.08004
-17;2.07193
-16;2.06295
-15;2.05293
-14;2.04168
-13;2.02898
-12;2.01453
-11;1.99795
-10;1.97875
-9;1.95628
-8;1.92969
-7;1.89783
-6;1.85917
-5;1.81187
-4;1.75417
-3;1.6862
-2;1.61323
-1;1.54502
0;1.48631
1;1.43313
2;1.38071
3;1.3308
4;1.2883
5;1.25426
6;1.2271
7;1.20503
8;1.18671
9;1.17121
10;1.15788
11;1.14627
12;1.13606
13;1.12699
14;1.11887
15;1.11156
16;1.10494
17;1.09892
18;1.0934
19;1.08834
20;1.08368
