"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;2.03955
-19;2.03385
-18;2.02759
-17;2.02068
-16;2.01299
-15;2.0044
-14;1.99474
-13;1.98377
-12;1.97123
-11;1.95675
-10;1.93984
-9;1.91986
-8;1.89592
-7;1.86686
-6;1.83112
-5;1.78685
-4;1.73251
-3;1.66876
-2;1.60125
-1;1.53861
0;1.48383
1;1.43273
2;1.38162
3;1.33321
4;1.29197
5;1.25857
6;1.23158
7;1.20944
8;1.19094
9;1.17524
10;1.16173
11;1.14997
12;1.13964
13;1.1305
14;1.12235
15;1.11503
16;1.10842
17;1.10243
18;1.09697
19;1.09198
20;1.08739
