"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;1.76874
-19;1.76486
-18;1.76064
-17;1.75601
-16;1.75094
-15;1.74534
-14;1.73915
-13;1.73226
-12;1.72456
-11;1.71592
-10;1.70616
-9;1.6951
-8;1.68251
-7;1.66812
-6;1.65163
-5;1.63271
-4;1.61105
-3;1.58631
-2;1.55816
-1;1.5261
0;1.48903
1;1.44488
2;1.39297
3;1.34054
4;1.29646
5;1.26194
6;1.23484
7;1.21312
8;1.19534
9;1.18051
10;1.16795
11;1.15717
12;1.14781
13;1.13961
14;1.13237
15;1.12593
16;1.12016
17;1.11495
18;1.11024
19;1.10596
20;1.10204
