"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;1.961
-19;1.95583
-18;1.95015
-17;1.94388
-16;1.93693
-15;1.92918
-14;1.9205
-13;1.91069
-12;1.89955
-11;1.88676
-10;1.87195
-9;1.85462
-8;1.83407
-7;1.80937
-6;1.77933
-5;1.74248
-4;1.69757
-3;1.64491
-2;1.58808
-1;1.53233
0;1.4797
1;1.42792
2;1.37428
3;1.32225
4;1.27828
5;1.24367
6;1.21649
7;1.19469
8;1.17681
9;1.16183
10;1.14907
11;1.13806
12;1.12846
13;1.11999
14;1.11247
15;1.10575
16;1.09969
17;1.09422
18;1.08924
19;1.08469
20;1.08052
