"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;1.95629
-19;1.95192
-18;1.94712
-17;1.94183
-16;1.93598
-15;1.92945
-14;1.92212
-13;1.91385
-12;1.90444
-11;1.89361
-10;1.88103
-9;1.86624
-8;1.8486
-7;1.82724
-6;1.80093
-5;1.76803
-4;1.72652
-3;1.67472
-2;1.61336
-1;1.54806
0;1.48628
1;1.43032
2;1.37913
3;1.33392
4;1.29624
5;1.26549
6;1.24018
7;1.21901
8;1.20104
9;1.18561
10;1.17224
11;1.16057
12;1.15033
13;1.14128
14;1.13324
15;1.12606
16;1.11962
17;1.11382
18;1.10856
19;1.10378
20;1.09941
