"No.";"Tipo";"Código";"Secuencia"
1;"ADN";"Seq_1";"gi|86561680|ref|NC_003279.4| Caenorhabditis elegans chromosome I, complete sequence|15Mb"

"q";"Dq Seq_1"
-20;2.0136
-19;2.00753
-18;2.00088
-17;1.99354
-16;1.98543
-15;1.97639
-14;1.96628
-13;1.95489
-12;1.94197
-11;1.92721
-10;1.91017
-9;1.89035
-8;1.86703
-7;1.83931
-6;1.80605
-5;1.76595
-4;1.71795
-3;1.6624
-2;1.60257
-1;1.54395
0;1.48942
1;1.43694
2;1.38426
3;1.33467
4;1.29281
5;1.25923
6;1.23227
7;1.21022
8;1.19181
9;1.17617
10;1.16268
11;1.15091
12;1.14054
13;1.13132
14;1.12308
15;1.11565
16;1.10892
17;1.1028
18;1.0972
19;1.09205
20;1.08731
